controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length,first_contact_step
flow_only,20360811,300,0.0,1.0,0.5,8.41209336519237,0.0,0.7908496732026143,10.33856766205281,225
flow_only,20360812,300,0.0,1.0,0.5,7.532817581295983,0.0,0.7908496732026143,10.41157653380651,222
flow_only,20360813,300,0.0,1.0,0.5,8.046325826644853,0.0,0.7908496732026143,10.447000248008408,224
flow_only,20360814,300,0.0,1.0,0.5,8.048398399352982,0.0,0.7908496732026143,10.43884402839467,222
flow_only,20360815,300,0.0,1.0,0.5,7.578766757249848,0.0,0.7973856209150327,10.479367522522807,223
random,20360811,300,0.0,1.0,0.5,7.283948936462413,0.0,0.8104575163398693,42.309679551864974,242
random,20360812,300,0.0,1.0,0.5,7.039750425517572,0.0,0.803921568627451,40.56639968534,230
random,20360813,300,0.0,1.0,0.5,7.789395025968556,0.0,0.803921568627451,40.89835593244061,229
random,20360814,300,0.0,1.391169548034668,0.304415225982666,3.891893761008979,0.0,0.8104575163398693,41.502076910517644,279
random,20360815,300,0.0,1.0,0.5,7.763147557675847,0.125,0.8104575163398693,43.24915455770679,250
greedy,20360811,300,0.0,2.0,0.0,-0.6000000000000004,0.0,0.7254901960784313,43.278656873852015,300
greedy,20360812,300,0.0,1.0,0.5,7.384585165977513,0.0,0.7973856209150327,43.632194470614195,137
greedy,20360813,300,0.0,1.0,0.5,8.174647891521353,0.0,0.7973856209150327,44.82434033136815,141
greedy,20360814,300,0.0,2.0,0.0,-0.6000000000000004,0.0,0.5816993464052288,42.823819485493004,300
greedy,20360815,300,0.0,2.0,0.0,-0.6000000000000004,0.0,0.6013071895424836,42.969491434283555,300
