controller,seed,steps,success,remaining_mass,removal_rate,total_reward,collision_rate,known_fraction,path_length,first_contact_step
flow_only,20360811,300,0.0,1.0,0.5,8.648014509677843,0.0,0.7908496732026143,10.33856766205281,225
flow_only,20360812,300,0.0,1.0,0.5,7.763705351948754,0.0,0.7908496732026143,10.41157653380651,222
flow_only,20360813,300,0.0,1.0,0.5,8.276319169998125,0.0,0.7908496732026143,10.447000248008408,224
flow_only,20360814,300,0.0,1.0,0.5,8.270947599410965,0.0,0.7908496732026143,10.43884402839467,222
flow_only,20360815,300,0.0,1.0,0.5,7.805398100614564,0.0,0.7973856209150327,10.479367522522807,223
random,20360811,300,0.0,1.0,0.5,7.393051747679734,0.0,0.8235294117647058,43.274607721483335,182
random,20360812,300,0.0,1.0,0.5,7.02624026298524,0.0,0.7973856209150327,42.245603786432184,243
random,20360813,300,0.0,2.0,0.0,-0.11641748458147097,0.0,0.8104575163398693,40.39932990819216,300
random,20360814,300,0.0,1.0,0.5,7.073855122625848,0.0,0.7843137254901961,42.845499706454575,187
random,20360815,300,0.0,1.0,0.5,7.39495137691499,0.0,0.8169934640522876,41.90508534829132,239
greedy,20360811,300,0.0,2.0,0.0,-0.03764144182205247,0.0,0.7254901960784313,43.278656873852015,300
greedy,20360812,300,0.0,1.0,0.5,7.618311071395909,0.0,0.7973856209150327,43.632194470614195,137
greedy,20360813,300,0.0,1.0,0.5,8.414431655406851,0.0,0.7973856209150327,44.82434033136815,141
greedy,20360814,300,0.0,2.0,0.0,-0.2373508572578435,0.0,0.5816993464052288,42.823819485493004,300
greedy,20360815,300,0.0,2.0,0.0,-0.23618040084838912,0.0,0.6013071895424836,42.969491434283555,300
