scenario	controller	seed	robots	clots	horizon	lookahead	success	removal_rate	remaining_mass	first_contact_step	per_clot_first_contact	clot_branches	final_branch_occupancy	max_branches_occupied	centroid_branch_visits	first_cleared_step	returned_to_junction_after_first_clear	min_junction_distance_after_first_clear	collision_rate	path_length	steps	final_masses
bifurcation	forward_split_m-1	0	8	2	1000		0	0.0	2.0	-1	-1,-1	2,1	1:4,2:4	2	0,1,2	-1	0	-1.0	0.48375	275.14215535018593	1000	1.0000,1.0000
bifurcation	forward_split_m-1	1	8	2	1000		0	0.5	1.0	46	-1,46	2,1	1:8	1	0,1	59	1	0.020208563655614853	0.243	189.31802563369274	1000	1.0000,0.0000
bifurcation	forward_split_m-1	2	8	2	1000		0	0.5	1.0	51	-1,51	2,1	1:7,2:1	2	0,1	65	1	0.051181696355342865	0.33175	176.43690227530897	1000	1.0000,0.0000
bifurcation	forward_split_m-1	3	8	2	1000		0	0.5	1.0	46	46,-1	2,1	2:8	2	0,2	60	1	0.022837501019239426	0.322625	233.8561803707853	1000	0.0000,1.0000
bifurcation	forward_split_m-1	4	8	2	1000		0	0.5	1.0	46	46,-1	2,1	2:8	2	0,2	59	1	0.017784932628273964	0.322375	234.09578206110746	1000	0.0000,1.0000
bifurcation	forward_cohesive_m1	0	8	2	1000		0	0.5	1.0	47	47,-1	2,1	2:8	1	0,2	58	1	0.009868905879557133	0.322375	226.02613641135395	1000	0.0000,1.0000
bifurcation	forward_cohesive_m1	1	8	2	1000		0	0.5	1.0	46	-1,46	2,1	1:8	1	0,1	59	1	0.009868872351944447	0.243375	182.6122428206727	1000	1.0000,0.0000
bifurcation	forward_cohesive_m1	2	8	2	1000		0	0.5	1.0	47	-1,47	2,1	1:8	1	0,1	60	1	0.009868872351944447	0.243375	182.55466712638736	1000	1.0000,0.0000
bifurcation	forward_cohesive_m1	3	8	2	1000		0	0.5	1.0	49	49,-1	2,1	2:8	2	0,2	61	1	0.009868905879557133	0.32275	225.97648642398417	1000	0.0000,1.0000
bifurcation	forward_cohesive_m1	4	8	2	1000		0	0.5	1.0	46	46,-1	2,1	2:8	1	0,2	59	1	0.009868905879557133	0.32225	226.24679637607187	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	0	8	2	1000		0	0.5	1.0	42	42,-1	2,1	2:8	2	0,2	49	1	0.0	0.240125	207.46686515118927	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	1	8	2	1000		0	0.5	1.0	42	42,-1	2,1	2:8	1	0,2	49	1	0.0	0.239	207.09266842342913	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	2	8	2	1000		0	0.5	1.0	42	42,-1	2,1	2:8	1	0,2	49	1	2.9802322387695312e-08	0.24075	208.30930716730654	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	3	8	2	1000		0	0.5	1.0	42	42,-1	2,1	2:8	2	0,2	49	1	0.0	0.24	208.1442413867917	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	4	8	2	1000		0	0.5	1.0	42	42,-1	2,1	2:8	2	0,2	49	1	0.0	0.24	207.4066052455455	1000	0.0000,1.0000
bifurcation	topology_oracle	0	8	2	1000	6	1	1.0	0.0	41	106,41	2,1	2:8	1	0,1,2	49	1	0.0007240843842737377	0.0	17.41993952449411	113	0.0000,0.0000
bifurcation	topology_oracle	1	8	2	1000	6	1	1.0	0.0	41	104,41	2,1	2:8	1	0,1,2	48	1	0.000532696139998734	0.0	17.225521052256227	112	0.0000,0.0000
bifurcation	topology_oracle	2	8	2	1000	6	1	1.0	0.0	41	106,41	2,1	2:8	1	0,1,2	49	1	0.0006466801860369742	0.0	17.48509432375431	113	0.0000,0.0000
bifurcation	topology_oracle	3	8	2	1000	6	1	1.0	0.0	41	105,41	2,1	2:8	1	0,1,2	48	1	0.0005250972462818027	0.0	17.263051201123744	112	0.0000,0.0000
bifurcation	topology_oracle	4	8	2	1000	6	1	1.0	0.0	41	104,41	2,1	2:8	1	0,1,2	49	1	0.00034878437872976065	0.0	17.34373171441257	112	0.0000,0.0000
