scenario	controller	seed	robots	clots	horizon	lookahead	success	removal_rate	remaining_mass	first_contact_step	per_clot_first_contact	clot_branches	final_branch_occupancy	max_branches_occupied	centroid_branch_visits	first_cleared_step	returned_to_junction_after_first_clear	min_junction_distance_after_first_clear	collision_rate	path_length	steps	final_masses
bifurcation	forward_split_m-1	0	32	2	1000		0	0.5	1.0	46	-1,46	2,1	1:32	1	0,1	50	1	0.015712972730398178	0.243	752.4774042339996	1000	1.0000,0.0000
bifurcation	forward_split_m-1	1	32	2	1000		0	0.5	1.0	61	61,-1	2,1	1:10,2:22	2	0,2	68	0	0.12486341595649719	0.3755	1158.2351119946688	1000	0.0000,1.0000
bifurcation	forward_split_m-1	2	32	2	1000		0	0.5	1.0	53	-1,53	2,1	1:26,2:6	2	0,1	58	1	0.06732184439897537	0.30328125	1000.5752839306369	1000	1.0000,0.0000
bifurcation	forward_split_m-1	3	32	2	1000		0	0.5	1.0	68	-1,68	2,1	1:20,2:12	2	0,1	78	0	0.15502479672431946	0.38978125	1207.3911434523761	1000	1.0000,0.0000
bifurcation	forward_split_m-1	4	32	2	1000		0	0.5	1.0	55	55,-1	2,1	1:7,2:25	2	0,2	60	1	0.07548303157091141	0.358875	1059.3855643132702	1000	0.0000,1.0000
bifurcation	forward_cohesive_m1	0	32	2	1000		0	0.5	1.0	46	-1,46	2,1	1:32	1	0,1	49	1	0.009868791326880455	0.24334375	730.0841446332633	1000	1.0000,0.0000
bifurcation	forward_cohesive_m1	1	32	2	1000		0	0.5	1.0	47	47,-1	2,1	2:32	2	0,2	51	1	0.009868684224784374	0.32246875	903.7135305181146	1000	0.0000,1.0000
bifurcation	forward_cohesive_m1	2	32	2	1000		0	0.5	1.0	48	-1,48	2,1	1:32	1	0,1	49	1	0.009868791326880455	0.2435625	730.1308834301308	1000	1.0000,0.0000
bifurcation	forward_cohesive_m1	3	32	2	1000		0	0.0	2.0	-1	-1,-1	2,1	1:16,2:16	2	0,1,2	-1	0	-1.0	0.48896875	1461.1196469240822	1000	1.0000,1.0000
bifurcation	forward_cohesive_m1	4	32	2	1000		0	0.5	1.0	48	48,-1	2,1	2:32	2	0,2	51	1	0.009868684224784374	0.3229375	905.2413787664846	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	0	32	2	1000		0	0.5	1.0	42	42,-1	2,1	2:32	1	0,2	44	1	4.214684778958144e-08	0.2418125	831.1630844868487	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	1	32	2	1000		0	0.5	1.0	42	42,-1	2,1	2:32	1	0,2	44	1	4.214684778958144e-08	0.2406875	829.789127254393	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	2	32	2	1000		0	0.5	1.0	42	42,-1	2,1	2:32	1	0,2	44	1	4.214684778958144e-08	0.24096875	831.1113514024764	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	3	32	2	1000		0	0.5	1.0	42	42,-1	2,1	2:32	1	0,2	44	1	4.214684778958144e-08	0.2409375	831.4691307134926	1000	0.0000,1.0000
bifurcation	greedy_euclidean_m1	4	32	2	1000		0	0.5	1.0	42	42,-1	2,1	2:32	1	0,2	44	1	4.214684778958144e-08	0.2415625	831.5759028950706	1000	0.0000,1.0000
bifurcation	topology_oracle	0	32	2	1000	6	1	1.0	0.0	41	100,41	2,1	2:32	1	0,1,2	43	1	0.0002128481719410047	0.0	62.75296747777611	102	0.0000,0.0000
bifurcation	topology_oracle	1	32	2	1000	6	1	1.0	0.0	41	100,41	2,1	2:32	2	0,1,2	43	1	5.480341496877372e-05	0.0	62.86473905388266	102	0.0000,0.0000
